ID,Latin_Name,Common_Name,Plant_Type,Bloom_Time,Size_at_Maturity,Suitable_Site_Conditions,Soil_Type,Water_Needs,Appropriate_Location,Additional_Characteristices_Notes,Humidity_Level_Min,Humidity_Level_Max,Temperature_Level_Min,Temperature_Level_Max,Water_Level_Min,Water_Level_Max,Light_Level_Min,Light_Level_Max
56,Clarkia purpurea,Winecup Clarkia,Annual,Spring;Summer,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,,9,82,18,35,100,350,350,800
57,Clarkia rubicunda,Farewell to Spring,Annual,Summer,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden,,24,78,19,20,0,0,350,800
58,Clarkia unguiculata,Woodland Clarkia,Annual,Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,,24,92,16,31,100,350,350,800
59,Asplenium scolopendrium,Hart's Tongue Fern,Fern,,1-3 ft,Part Shade;Shade,,Low,Garden,,0,98,10,33,100,350,0,350
60,Clematis ligusticifolia,Western Virgin's Bower,Perennial,Summer,> 24 ft,Sun;Part Shade,Loam;Sand,Moderate,Garden;Roof,,14,71,17,35,350,600,350,800
61,Clinopodium douglasii,Yerba Buena,Perennial,Summer,< 1 ft,Part Shade,Clay;Loam;Sand;Rock,Low,Garden;Roof,Temperamental and may not persist. Fragrant foliage.,0,78,18,34,100,350,100,350
62,Collinsia heterophylla,Chinese Houses,Annual,Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Rare plant. Attracts Checkerspot Butterfly.,24,76,15,31,100,350,350,800
63,Cordyline australis,Cabbage Palm,Tree (evergreen),Summer,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Needs very large basin, take care when planting near natural areas.",24,69,16,29,100,350,350,800
64,Corethrogyne filaginifolia,Common Sand Aster,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,,27,67,11,21,100,350,350,800
65,Cornus sericea,American Dogwood,Shrub (deciduous),Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Moderate,Garden,Attracts Sprin Azure / Echo Blue (Celastrina ladon echo) butterfly.,9,89,18,24,350,600,350,800
66,Cornus sericea ssp. occidentalis,California Dogwood,Shrub (deciduous),Summer,7-12 ft,Sun;Shade,Clay;Loam;Sand;Rock,Moderate,Garden,Attracts Cedar Waxwing bird.,30,96,18,32,350,600,0,750
67,Corylus cornuta,California Hazelnut,Tree (deciduous),Winter,7-12 ft,Sun;Shade,Clay;Loam;Sand,Low,Garden,,24,95,16,25,100,350,0,750
68,Corymbia ficifolia,Red Flowering Gum,Tree (evergreen),Summer,> 24 ft,Sun,,Low,Sidewalk,"Needs a very large basin, wide sidewalk.",24,76,19,34,100,350,500,800
69,Crataegus phaenopyrum,Washington Hawthorn,Tree (deciduous),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Subject to pests, has thorns, may be susceptible to fireblight.",19,92,17,36,100,350,350,800
70,Crataegus x Lavallei,Lavallée's hawthorn,Tree (deciduous),,13-24 ft,,,Low,Sidewalk,,25,97,9,39,100,350,,
71,Cressa truxillensis,Alkali Weed,Perennial,Summer,< 1 ft,Sun;Shade,Loam;Sand,Low,Garden,,22,73,18,27,100,350,0,750
72,Syagrus romanzoffiana,Queen Palm,Tree (evergreen),,> 24 ft,Sun,,Low,Sidewalk;Garden,"Needs heat, wind protection.",3,51,15,31,100,350,500,800
73,Symphoricarpos albus,Common Snowberry,Shrub (deciduous),Summer,1-3 ft,Sun;Part Shade;Shade,Clay;Loam;Sand;Rock,Low,Sidewalk;Garden,"Attracts quail, pheasant, and grouse.",13,54,18,34,100,350,0,800
74,Symphoricarpos mollis,Trailing Snowberry,Shrub (deciduous),Spring;Summer,1-3 ft,Sun;Part Shade;Shade,Clay;Loam;Sand,Low,Garden,,15,80,12,29,100,350,0,800
75,Symphyotrichum chilense,Wild Aster,Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Roof,Attracts Field Crescent (Phyciodes campestris) butterfly.,5,86,17,37,0,0,500,800
76,Tanacetum bipinnatum,Dune Tansy,Perennial,Summer;Fall,1-3 ft,Sun,Sand,None,Garden;Roof,,23,65,14,21,0,0,500,800
77,Tellima grandiflora,Fringe Cups,Perennial,Spring;Summer,1-3 ft,Part Shade;Shade,Loam;Clay,Low,Garden,"Self-sowing, but not weedy.",5,85,15,20,100,350,0,350
78,Tilia cordata,Littleleaf Linden,Tree (deciduous),Spring,> 24 ft,Sun,,Low,Sidewalk;Garden,Slow grower.,11,69,12,26,100,350,500,800
79,Trifolium fucatum,Bull Clover,Annual,Spring,1-3 ft,Sun,Clay;Loam;Sand,Moderate,Garden,Wet grower. Attracts Orange Sulphur (Colias eurytheme).,16,65,13,24,350,600,500,800
80,Trifolium gracilentum,Pinpoint Clover,Annual,Spring,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,Attracts Orange Sulphur (Colias eurytheme).,11,88,18,31,100,350,500,800
81,Trifolium variegatum,Whitetip Clover,Annual,Spring;Summer,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,Attracts Orange Sulphur (Colias eurytheme).,15,84,17,21,100,350,500,800
82,Trifolium willdenovii,Tomcat Clover,Annual,Spring,1-3 ft,Sun;Part Shade,Clay;Loam,None,Garden,Attracts Orange Sulphur (Colias eurytheme) and Bay Checkerspot butterflies.,16,98,13,40,0,0,350,800
83,Trifolium wormskioldii,Cow Clover,Perennial,Spring,< 1 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,Wet grower.,12,95,11,21,350,600,350,800
84,Tristaniopsis laurina,Water Gum,Tree (evergreen),Spring,13-24 ft,Sun,Clay;Loam;Sand,None,Sidewalk;Garden,,29,98,10,40,0,0,500,800
85,Euthamia occidentalis,Western Goldenrod,Perennial,Summer;Fall,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,,18,84,15,37,100,350,350,800
86,Tristaniopsis laurina  'Elegant',Elegant Brisbane Box,Tree (evergreen),Spring;Summer,13-24 ft,Sun,,Low,Sidewalk;Garden,"Foremerly know as Tristania laurina ‘Elegant’; grows slowly, irregular form, mod-high maintenance.",14,52,10,40,100,350,500,800
87,Typha domingensis,Southern Cattail,Perennial,Spring;Summer,7-12 ft,Sun,Clay;Loam;Sand,Moderate,Garden,"Wet grower, fresh water, travels and can be a maintenance problem very easily. Attracts Red-Wing Black bird.",19,73,10,40,350,600,500,800
88,Typha latifolia,Broadleaf Cattail,Perennial,Spring,7-12 ft,Sun,Clay;Loam;Sand,Moderate,Garden,"Wet grower, fresh water, travels and can be a maintenance problem very easily.",7,99,13,21,350,600,500,800
89,"Ulmus parvifolia 'Drake', 'Sempervirens'",Drake/Sempervirens Chinese Elm,Tree (deciduous),,> 24 ft,Sun,,Low,Sidewalk,"Fast grower, which initially requires higher maintenance.",11,61,16,23,100,350,500,800
90,Urtica dioica ssp. gracilis,Stinging Nettle,Perennial,Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), and West Coast Lady (Vanessa annabella).",26,70,16,25,350,600,350,800
91,Urtica dioica ssp. holosericea,Hoary Nettle,Perennial,Summer,4-6 ft,Sun,Clay;Loam;Sand,Low,Garden,"Attracts Red Admiral (Vanessa atalanta), Satyr Anglewing (Polygonia satyrus), West Coast Lady (Vanessa annabella).",7,99,18,25,100,350,500,800
92,Vaccinium ovatum,Huckleberry,Shrub (evergreen),Spring;Winter,7-12 ft,Sun;Part Shade;Shade,Clay,Low,Garden,,6,60,19,23,100,350,0,800
93,Verbena bonariensis,Purpletop Vervain,Annual,Spring,4-6 ft,Sun;Part Shade,Loam,Low,Garden,Attracts Mournful Duskywing (Erynnis tristis).,5,86,19,31,100,350,350,800
94,Verbena lasiostachys,Western Vervain,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Low,Garden,Attracts Mournful Duskywing (Erynnis tristis).,9,69,15,29,100,350,350,800
95,Vitis californica,California Wild Grape,Vine,Spring,> 24 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Low,Garden;Roof,Plant east of Twin Peaks – needs warmth. Attracts Cedar Waxwing and Western Fence Lizard.,9,79,9,28,100,350,350,800
96,Washingtonia robusta,Mexican Fan Palm,Tree (evergreen),,> 24 ft,Sun,,Low,Sidewalk;Garden,"Prefers some warmth, full sun",13,54,20,22,100,350,500,800
97,Cupaniopsis anacardioides,Carrot Wood,Tree (evergreen),Summer,> 24 ft,Sun;Shade,,Low,Sidewalk,"Uneven performer, needs heat, wind protection.",24,63,11,25,100,350,0,750
98,Danthonia californica,California Oatgrass,Grass,Winter,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,"Deep roots, takes to hillsides well, and better erosion protection than most trees.",1,77,16,38,100,350,500,800
99,Deinandra corymbosa,Coast Tarweed,Annual,Spring;Summer;Fall,1-3 ft,Sun,Clay,Low,Garden,Best on east side of the city.,19,95,20,34,100,350,500,800
100,Whipplea modesta,Western modesty,Vine,Spring,< 1 ft,Part Shade,Sand;Loam,Low,Sidewalk;Garden,,16,83,19,21,100,350,100,350
101,Deschampsia cespitosa ssp. holciformis,Tufted Hairgrass,Grass,Summer,< 1 ft,Sun;Shade,Clay;Loam,Low,Garden,Not drought tolerant.,16,72,15,32,100,350,0,750
102,Distichlis spicata,Saltgrass,Grass,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Attracts Westen Pygmy Blue butterfly (Brephidium exile).,20,69,12,33,100,350,350,800
103,Dudleya brittonii D. pulverulenta,Chalk Dudleya,Succulent,Spring,< 1 ft,Sun,Clay,Low,Garden;Roof,Good for containers / medians. Chalky foliage.,6,91,10,29,100,350,500,800
104,Dudleya caespitosa,"Sea Lettuce, Coast Dudleya",Succulent,Summer,< 1 ft,Sun;Part Shade,Clay,Low,Garden;Roof,,28,92,16,34,100,350,350,800
105,Dudleya farinosa,Live Forever,Succulent,Spring,< 1 ft,Sun;Part Shade,Rock;Sand,None,Garden;Roof,Produces green or glaucus form. Plant next to concrete to wick moisture. Chalky white and red foliage.,9,72,14,33,0,0,350,800
106,Elaeocarpus decipiens,Japanese Blueberry Tree,Tree (evergreen),Summer,13-24 ft,Sun,,Low,Sidewalk,"Slow growing, keep out of strong/ prevailing wind, flowers and may not produce fruit at maturity here .",30,63,11,40,100,350,500,800
107,Eleocharis macrostachya,Common or Creeping Spikerush,Grass,Spring,1-3 ft,Sun,Clay;Loam;Sand;Rock,Moderate,Garden,Brown Seedhead.,8,61,18,21,350,600,500,800
108,Eleocharis parvula,Dwarf Spikerush,Grass,Summer,< 1 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Moderate,Garden,CNPS Rare Plant,14,86,19,25,350,600,350,800
109,Elymus glaucus,Blue Wild-rye,Grass,Summer,1-3 ft,Part Shade,Clay;Loam;Sand,None,Garden;Roof,Versatile flower that is a weedfighter and survivor.,11,95,16,28,0,0,100,350
110,Elymus mollis ssp. mollis,American Dune Grass,Grass,Summer,1-3 ft,Sun,Sand,None,Sidewalk;Garden,"Needs dunes and shifting sand, most likely by ocean beach.",18,62,10,30,0,0,500,800
111,Elymus pacificus,Pacific wild rye,Grass,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,,15,76,12,25,100,350,350,800
112,Elymus triticoides,Beardless wild rye,Grass,Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden;Roof,Versatile flower that is a runner and good for binding.,18,94,18,34,100,350,350,800
113,Encelia californica,Bush Sunflower,Shrub (evergreen),Spring;Summer;Winter,4-6 ft,Sun,Clay,Low,Sidewalk;Garden,Sunflower-like flowers. Attracts Red-Winged Blackbird.,14,51,17,34,100,350,500,800
114,Epilobium brachycarpum,Annual Fireweed,Annual,Summer,4-6 ft,Sun;Shade,Clay;Loam;Sand,None,Garden,Self-seeds. Attracts Lesser Goldfinches and Sphinx Moth.,12,87,18,27,0,0,0,750
115,Festuca californica,California Fescue,Grass,Spring;Winter,1-3 ft,Part Shade,clay;loam,Low,Garden;Sidewalk;Roof,Attracts Black-tailed jackrabbit.,7,85,13,39,100,350,100,350
116,Epilobium canum,California Fuchsia,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Loam;Rock;Sand,None,Garden;Roof,Attracts Anna's Hummingbird and White Line Sphinx moth.,10,62,14,25,0,0,350,800
117,Epilobium ciliatum ssp. watsonii,Willow Herb,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Low,Garden,Self-seeds. Attracts Lesser Goldfinches.,16,77,10,32,100,350,350,800
118,Ericameria ericoides,Mock Heather,Shrub (evergreen),Fall,1-3 ft,Sun,Sand,None,Sidewalk;Garden,"Needs dunes and shifting sand, most likely by ocean beach.",28,99,16,38,0,0,500,800
119,Erigeron glaucus,Seaside Daisy,Perennial,Spring;Winter,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Sidewalk;Roof,Adaptable to many locations. Attracts Green Hairstreak (Callophrys viridis) butterfly.,11,50,13,34,0,0,350,800
120,Eriobotrya deflexa,Bronze Loquat,Tree (evergreen),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Needs wind protection, does not perform well in sandy soils.",27,54,14,29,100,350,350,800
121,Eriogonum latifolium,Coast Buckwheat,Perennial,Summer;Fall,1-3 ft,Sun;Part Shade,Rock;Sand;Clay,None,Garden;Sidewalk;Roof,Recommended. Attracts Green Hairstreak (Callophrys viridis) and Acmon Blue (Plebejus acmon) butterflies.,2,84,14,27,0,0,350,800
122,Eriophyllum staechadifolium,Lizardtail,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden;Sidewalk;Roof,"Recommended. Likes the fog belt, but could do the east side.",26,68,18,32,0,0,350,800
